city_name	latitude	longitude	elevation
Abu Dhabi, United Arab Emirates	24.453835	54.377401	5.0
Abuja, Nigeria	9.064331	7.489297	480.0
Acapulco, Mexico	16.86805	-99.894018	62.0
Accra, Ghana	5.55711	-0.201238	27.0
Adak, USA	51.873613	-176.639032	8.0
Adamstown, Pitcairn Islands	-25.066667	-130.100205	56.0
Addis Ababa, Ethiopia	9.035829	38.752413	2472.0
Adelaide, Australia	-34.928181	138.599931	47.0
Aden, Yemen	12.789585	45.028504	131.0
Agra, India	27.175255	78.009816	171.0
Aguascalientes, Mexico	21.880487	-102.296719	1867.0
Ahmedgarh, India	30.677212	75.825815	251.0
Albuquerque, USA	35.084103	-106.650985	1514.0
Alert, Canada	82.498987	-62.350671	78.0
Algiers, Algeria	36.772931	3.058829	35.0
Alice Springs, Australia	-23.698388	133.881289	580.0
Almaty, Kazakhstan	43.236392	76.945728	887.0
Alofi, Niue	-19.053416	-169.919199	13.0
Amman, Jordan	31.951569	35.923963	826.0
Amsterdam Island, French Southern Territories	-37.836491	77.554173	691.0
Amsterdam, Netherlands	52.37308	4.892453	15.0
Anadyr, Russia	64.731688	177.506092	39.0
Anchorage, USA	61.216313	-149.894852	39.0
Andorra La Vella, Andorra	42.506939	1.521247	1037.0
Ankara, Turkey	39.920776	32.85405	865.0
Antananarivo, Madagascar	-18.910012	47.525581	1295.0
Apia, Samoa	-13.834464	-171.764914	5.0
Aqtobe, Kazakhstan	50.283627	57.229865	225.0
Ashgabat, Turkmenistan	37.940465	58.382349	229.0
Asmara, Eritrea	15.338967	38.932676	2337.0
Astana, Kazakhstan	51.12822	71.430668	348.0
Asuncion, Paraguay	-25.280046	-57.634381	76.0
Athens, Greece	37.975565	23.734832	92.0
Atlanta, USA	33.748992	-84.390264	317.0
Auckland, New Zealand	-36.852095	174.76318	26.0
Augusta, USA	44.316992	-69.773428	27.0
Austin, USA	30.271129	-97.7437	167.0
Baghdad, Iraq	33.30617	44.387221	34.0
Baker Lake, Canada	64.318858	-96.021424	21.0
Baku, Azerbaijan	40.375588	49.832801	-8.0
Balikpapan, Indonesia	-1.239871	116.859338	8.0
Baltimore, USA	39.290882	-76.610759	13.0
Bamako, Mali	12.613266	-7.984739	376.0
Bandar Seri Begawan, Brunei	4.889545	114.941757	5.0
Bandung, Indonesia	-6.921553	107.611021	705.0
Bangkok, Thailand	13.752494	100.493509	3.0
Bangui, Central African Republic	4.363512	18.583591	358.0
Banjul, Gambia	13.441016	-16.562751	0.0
Barcelona, Spain	41.382894	2.177432	30.0
